region_A,A_sig,B_sig,C_sig,D_sig,A_bkg,B_bkg,C_bkg,D_bkg,B_data,C_data,D_data,A_pred,fom
abcdnet_score > 0.9857070707070706 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.7961190945401405,0.3510948117810296,5.935514328006164,2.856619508474765,1.3747294538961299,3.55875095650551,813.0184168371202,1446.6785822506595,7,1461,2632,3.8856382978723403,0.403874891997531
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.8071912837349973,0.3536922980864786,5.924442138811306,2.854022022169316,1.3747294538961299,3.55875095650551,813.0184168371202,1446.6785822506595,7,1461,2632,3.8856382978723403,0.4094918646915876
abcdnet_score > 0.9852020202020202 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.8106143018835378,0.35876929532265467,5.921019120662766,2.84894502493314,1.3747294538961299,3.594906479270588,813.0184168371202,1446.642426727894,7,1461,2632,3.8856382978723403,0.41122837760093556
abcdnet_score > 0.9849494949494949 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.82175717677038,0.36532259002656753,5.909876245775925,2.8423917302292274,1.3747294538961299,3.614947258867901,813.0184168371202,1446.6223859482968,7,1461,2632,3.8856382978723403,0.4168812094728616
abcdnet_score > 0.9846969696969696 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.8263597493932077,0.3672408006893805,5.905273673153097,2.840473519566414,1.3747294538961299,3.659498426672496,813.0184168371202,1446.5778347804921,7,1461,2632,3.8856382978723403,0.419216115812508
abcdnet_score > 0.9864646464646465 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.7711288827220972,0.3409532398868025,5.960504539824207,2.8667610803689922,1.3747294538961299,2.8423526296996786,813.0184168371202,1447.394980577465,6,1462,2633,3.331560957083175,0.42247701697955176
abcdnet_score > 0.9844444444444445 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.8391763884579242,0.3672408006893805,5.8924570340883795,2.840473519566414,1.3747294538961299,3.729238299209664,813.0184168371202,1446.508094907955,7,1461,2632,3.8856382978723403,0.4257180559789145
abcdnet_score > 0.9862121212121212 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.7786091944664291,0.3457485722827184,5.953024228079875,2.8619657479730765,1.3747294538961299,2.9262664199311454,813.0184168371202,1447.3110667872336,6,1462,2633,3.331560957083175,0.42657524214350445
abcdnet_score > 0.9859595959595959 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.7892601228886074,0.347429005709004,5.942373299657698,2.8602853145467906,1.3747294538961299,3.3747521596220165,813.0184168371202,1446.8625810475428,6,1461,2633,3.329282187618686,0.4325585065893806
abcdnet_score > 0.9841919191919192 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.8528774465268638,0.3679694104881148,5.8787559760194394,2.83974490976768,1.374921435480202,3.729238299209664,813.018224855536,1446.508094907955,7,1461,2632,3.8856382978723403,0.43266866598914316
abcdnet_score > 0.9839393939393939 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.8647134878699271,0.37357402879204615,5.8669199346763765,2.834140291463749,1.374921435480202,3.909705536372228,813.018224855536,1446.3276276707925,7,1461,2632,3.8856382978723403,0.4386731444043597
abcdnet_score > 0.9836868686868687 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.876910729921521,0.37456961534091904,5.854722692624784,2.8331447049148757,1.5706251668323163,3.929265278167447,812.822521124184,1446.3080679289974,7,1461,2632,3.8856382978723403,0.44486086160652116
abcdnet_score > 0.9834343434343434 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.8889393942517767,0.37992987486740426,5.842694028294527,2.8277844453883905,1.5706251668323163,4.1373777820122735,812.822521124184,1446.0999554251525,7,1461,2632,3.8856382978723403,0.4509630585523974
abcdnet_score > 0.9831818181818182 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.898226283366464,0.38033637520282737,5.833407139179839,2.8273779450529677,1.5706251668323163,4.1373777820122735,812.822521124184,1446.0999554251525,7,1461,2632,3.8856382978723403,0.45567434027382614
abcdnet_score > 0.9867171717171717 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.7623293769914543,0.337195358051667,5.96930404555485,2.8705189622041276,1.3747294538961299,2.7269670918990863,813.0184168371202,1447.5103661152655,5,1462,2634,2.7752467729688686,0.4576061503115608
abcdnet_score > 0.9829292929292929 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.9052636940290728,0.38604004612522286,5.826369728517231,2.821674274130572,1.5706251668323163,4.1373777820122735,812.822521124184,1446.0999554251525,7,1461,2632,3.8856382978723403,0.459244451191647
abcdnet_score > 0.9826767676767677 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.9123383898310599,0.3909329877670394,5.819295032715244,2.8167813324887554,1.6871514347294385,4.1373777820122735,812.7059948562869,1446.0999554251525,7,1461,2632,3.8856382978723403,0.46283347703280375
abcdnet_score > 0.970050505050505 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.207650267993246,0.5258836515459999,5.523983154553058,2.681830668709795,2.979864332479209,7.030275769406322,811.413281958537,1443.2070574377583,12,1459,2627,6.664636467453369,0.4677921713690649
abcdnet_score > 0.9697979797979798 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.2111356068737003,0.5258836515459999,5.520497815672603,2.681830668709795,2.979864332479209,7.030275769406322,811.413281958537,1443.2070574377583,12,1459,2627,6.664636467453369,0.46914224289726825
abcdnet_score > 0.9824242424242424 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.925240507764692,0.3909329877670394,5.806392914781611,2.8167813324887554,1.6871514347294385,4.1886574461015496,812.7059948562869,1446.0486757610631,7,1461,2632,3.8856382978723403,0.46937878102403013
abcdnet_score > 0.9695454545454545 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.2149014464388408,0.5283550323963023,5.516731976107463,2.6793592878594925,2.979864332479209,7.091797528313106,811.413281958537,1443.1455356788515,12,1459,2627,6.664636467453369,0.4706009684189641
abcdnet_score > 0.9692929292929293 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.2181669419991505,0.5298034745246865,5.513466480547153,2.677910845731108,3.124878093476765,7.104764329362673,811.2682681975396,1443.1325688778022,12,1459,2627,6.664636467453369,0.471865882027845
abcdnet_score > 0.9718181818181818 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.1664018198350319,0.5089557343800831,5.565231602711272,2.6987585858757117,2.484320523387009,6.621330077761679,811.9088257676293,1443.616003129403,11,1459,2628,6.106925418569254,0.471994437524347
abcdnet_score > 0.9821717171717171 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.9306286412623578,0.39172302439171697,5.801004781283947,2.815991295864078,1.6871514347294385,4.2318086051583546,812.7059948562869,1446.0055246020063,7,1461,2632,3.8856382978723403,0.4721122060220765
abcdnet_score > 0.969040404040404 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.2225165543695464,0.533512456816998,5.509116868176757,2.674201863438797,3.124878093476765,7.106169781714518,811.2682681975396,1443.1311634254503,12,1459,2627,6.664636467453369,0.4735507362189034
abcdnet_score > 0.9715656565656565 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.1722560759779346,0.5113750964405042,5.55937734656837,2.696339223815291,2.4853291817187624,6.6670706911884166,811.9078171092975,1443.570262515976,11,1459,2628,6.106925418569254,0.47436341216782246
abcdnet_score > 0.9713131313131312 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.174977821995713,0.5131511606667696,5.556655600550591,2.694563159589025,2.4853291817187624,6.70982328571803,811.9078171092975,1443.5275099214464,11,1459,2628,6.106925418569254,0.47546478989109037
abcdnet_score > 0.9819191919191919 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.9382419260640835,0.39395802027092447,5.79339149648222,2.8137562999848704,1.6871514347294385,4.2318086051583546,812.7059948562869,1446.0055246020063,7,1461,2632,3.8856382978723403,0.47597446054923304
abcdnet_score > 0.9710606060606061 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.1776711720961452,0.517173917897678,5.553962250450159,2.690540402358117,2.4853291817187624,6.70982328571803,811.9078171092975,1443.5275099214464,11,1459,2628,6.106925418569254,0.4765546769643885
abcdnet_score > 0.9687878787878788 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.2316076995513914,0.5343486940320368,5.500025722994913,2.6733656262237577,3.124878093476765,7.293965955606049,811.2682681975396,1442.9433672515586,12,1459,2627,6.664636467453369,0.47707225785273993
abcdnet_score > 0.9816666666666667 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.9405163512316931,0.39485241653266084,5.791117071314611,2.812861903723134,1.6871514347294385,4.2318086051583546,812.7059948562869,1446.0055246020063,7,1460,2632,3.882978723404255,0.4772916590651731
abcdnet_score > 0.9685353535353535 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.236945827800108,0.5343486940320368,5.494687594746195,2.6733656262237577,3.124878093476765,7.336352623481933,811.2682681975396,1442.9009805836827,12,1459,2627,6.664636467453369,0.4791400209052528
abcdnet_score > 0.9708080808080808 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.1874056937477233,0.5209778227889685,5.544227728798581,2.686736497466826,2.7094065048934954,6.711577562272267,811.6837397861227,1443.5257556448923,11,1459,2628,6.106925418569254,0.48049383411707114
abcdnet_score > 0.9814141414141414 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.947576671335201,0.39706276562678633,5.784056751211104,2.8106515546290085,1.7489047682592154,4.2318086051583546,812.6442415227572,1446.0055246020063,7,1460,2632,3.882978723404255,0.48087461845904367
abcdnet_score > 0.9682828282828283 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.242800072070939,0.5360289214379933,5.488833350475366,2.6716853988178015,3.1798554726109862,7.500636870044126,811.2132908184053,1442.7366963371205,12,1459,2627,6.664636467453369,0.4814077052769274
abcdnet_score > 0.9705555555555555 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.189751967252675,0.5218280254546226,5.5418814552936295,2.6858862948011724,2.979864332479209,6.808362908416021,811.413281958537,1443.4289702987485,11,1459,2628,6.106925418569254,0.4814432736879084
abcdnet_score > 0.9703030303030302 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.1926578547578202,0.5256981708775603,5.5389755677884835,2.682016149378234,2.979864332479209,7.030275769406322,811.413281958537,1443.2070574377583,11,1459,2628,6.106925418569254,0.48261916583345904
abcdnet_score > 0.9811616161616161 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.9530055805098988,0.4006907742811996,5.778627842036405,2.8070235459745954,1.8160286219425117,4.2318086051583546,812.5771176690739,1446.0055246020063,7,1460,2632,3.882978723404255,0.48362967217343394
abcdnet_score > 0.968030303030303 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.2517246996196207,0.5360289214379933,5.479908722926684,2.6716853988178015,3.223137978120742,7.500636870044126,811.1700083128956,1442.7366963371205,12,1459,2627,6.664636467453369,0.4848647250866405
abcdnet_score > 0.9809090909090908 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.957470122230189,0.40264179131751004,5.774163300316115,2.805072528938285,1.8160286219425117,4.554792828791546,812.5771176690739,1445.6825403783732,7,1460,2632,3.882978723404255,0.48589533031095855
abcdnet_score > 0.9677777777777777 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.2574799984738168,0.5374409977539405,5.474153424072488,2.670273322501854,3.223137978120742,7.500636870044126,811.1700083128956,1442.7366963371205,12,1459,2627,6.664636467453369,0.48709408222689604
abcdnet_score > 0.9806565656565657 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.9622155020250434,0.40581474261090145,5.769417920521262,2.8018995776448934,1.8811488270690655,4.556456303133761,812.5119974639473,1445.680876904031,7,1460,2632,3.882978723404255,0.4883035076831161
abcdnet_score > 0.9804040404040404 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.9653682435053546,0.4070001648244437,5.76626517904095,2.8007141554313515,1.8811488270690655,4.556456303133761,812.5119974639473,1445.680876904031,7,1460,2632,3.882978723404255,0.48990345563699345
abcdnet_score > 0.9675252525252525 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.2688635123808112,0.5443892150072034,5.462769910165493,2.6633251052485916,3.223137978120742,7.500636870044126,811.1700083128956,1442.7366963371205,12,1459,2627,6.664636467453369,0.4915035696666758
abcdnet_score > 0.9801515151515151 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.9691578544159843,0.4100780825261091,5.76247556813032,2.7976362377296855,1.8811488270690655,4.556456303133761,812.5119974639473,1445.680876904031,7,1460,2632,3.882978723404255,0.4918266010202473
abcdnet_score > 0.9723232323232323 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.16167759527923,0.5014854272159222,5.569955827267074,2.7062288930398726,2.484320523387009,6.466516972860328,811.9088257676293,1443.7708162343042,10,1459,2629,5.549638645872956,0.4931207306357104
abcdnet_score > 0.9672727272727273 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.2747931696825465,0.5490912411411387,5.456840252863758,2.658623079114656,3.2689177080047975,7.500636870044126,811.1242285830115,1442.7366963371205,12,1459,2627,6.664636467453369,0.4938004658278985
abcdnet_score > 0.9720707070707071 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,1.1643490181438232,0.5041595683296046,5.56728440440248,2.70355475192619,2.484320523387009,6.467250389479023,811.9088257676293,1443.7700828176858,10,1459,2629,5.549638645872956,0.49425472340631943
abcdnet_score > 0.9798989898989898 and abs_deta_jj > 6.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1000.0,0.9757783810136522,0.41178721628874804,5.7558550415326515,2.7959271039670464,2.188456326276495,4.556456303133761,812.2046899647398,1445.680876904031,7,1460,2632,3.882978723404255,0.49518637474406163
